marca,modelo,año,precio,transmision,rendimiento,combustible,litros
 Renault , Duster ,2019,244999.0,Manual,13.3,Gasolina,2
 Audi , Q2 ,2018,454999.0,Automático,14.9,Gasolina,1.4
 Bmw , Serie 1 ,2018,438999.0,Automático,17.9,Gasolina,1.5
 Kia , Sorento ,2020,543999.0,Automático,12.8,Gasolina,2.4
 Ford , Focus ,2018,298999.0,Automático,15.2,Gasolina,1.6
 Chevrolet , Trax ,2016,247999.0,Automático,15.2,Gasolina,1.8
 Chrysler , Town & Country ,2015,315999.0,Automático,7.8,Gasolina,4
 Volkswagen , Vento ,2018,218999.0,Manual,14.3,Gasolina,1.6
 Jeep , Renegade ,2017,332999.0,Automático,12.2,Gasolina,1.8
 Chevrolet , Trax ,2019,335999.0,Automático,15.2,Gasolina,1.8
 Kia , Seltos ,2020,442999.0,Automático,11.1,Gasolina,1.4
 Toyota , Prius ,2019,365999.0,Automático,31.3,Híbrido,1.5
 Chevrolet , Trax ,2020,393999.0,Automático,15.2,Gasolina,1.8
 Nissan , March ,2018,213999.0,Automático,15.2,Gasolina,1.6
 Bmw , Serie 4 ,2019,608999.0,Automático,12.8,Gasolina,2
 Mercedes Benz , Clase Gla ,2020,620999.0,Automático,13.5,Gasolina,1.6
 Nissan , Note ,2019,213999.0,Manual,15.4,Gasolina,1.6
 Nissan , Versa ,2018,224999.0,Manual,16.4,Gasolina,1.6
 Volkswagen , Virtus ,2020,311999.0,Manual,15.4,Gasolina,1.6
 Chevrolet , Trax ,2018,339999.0,Automático,15.2,Gasolina,1.8
 Mazda , Mazda 6 ,2019,397999.0,Automático,14.1,Gasolina,2.5
 Nissan , March ,2016,163999.0,Manual,16.1,Gasolina,1.6
 Bmw , Serie 1 ,2019,495999.0,Automático,17.9,Gasolina,1.5
 Chevrolet , Aveo ,2018,224999.0,Automático,16.7,Gasolina,1.8
 Audi , A3 ,2016,343999.0,Automático,11.8,Gasolina,1.8
 Nissan , Versa ,2019,245999.0,Automático,18.2,Gasolina,1.6
 Suzuki , Swift ,2020,319999.0,Automático,19.2,Gasolina,1
 Mini , Cooper ,2019,438999.0,Automático,17.5,Gasolina,1.5
 Suzuki , Ignis ,2019,270999.0,Automático,19.6,Gasolina,1.2
 Kia , Sorento ,2019,497999.0,Automático,12.8,Gasolina,3.3
 Volkswagen , Vento ,2018,243999.0,Automático,9.6,Gasolina,1.6
 Nissan , Versa ,2020,308999.0,Manual,16.4,Gasolina,1.6
 Mazda , Mazda 3 ,2017,289999.0,Automático,9.6,Gasolina,2
 Toyota , Sienna ,2020,604999.0,Automático,9.6,Gasolina,3.5
 Nissan , Kicks ,2017,305999.0,Automático,17.5,Gasolina,1.6
 Honda , Accord ,2015,276999.0,Automático,9.9,Gasolina,"2,4"
 Kia , Sedona ,2019,502999.0,Automático,9.8,Gasolina,3.3
 Volvo , V40 ,2018,466999.0,Automático,12.3,Gasolina,2
 Honda , CR-V ,2016,331999.0,Automático,9.7,Gasolina,2.4
 Volkswagen , Taos ,2021,532999.0,Automático,14.5,Gasolina,1.4
 Nissan , Versa ,2017,193999.0,Manual,6.1,Gasolina,1.6
 Nissan , Kicks ,2017,277999.0,Automático,16.9,Gasolina,1.6
 Chevrolet , Beat ,2018,166999.0,Manual,18.2,Gasolina,1.8
 Ford , Focus ,2017,304999.0,Automático,15.2,Gasolina,1.6
 Audi , A3 ,2018,393999.0,Automático,14.3,Gasolina,1.8
 Porsche , Macan ,2018,887999.0,Automático,8.8,Gasolina,1.6
 Seat , Arona ,2019,350999.0,Automático,14.3,Gasolina,1.6
 Volkswagen , Golf A7 ,2017,532999.0,Manual,16.1,Gasolina,1.4
 Volkswagen , Polo ,2016,224999.0,Automático,16.1,Gasolina,1.4
 Mercedes Benz , Clase Glc ,2019,791999.0,Automático,10.6,Gasolina,1.6
 Volkswagen , Vento ,2018,233999.0,Manual,14.3,Gasolina,1.6
 Ford , Fiesta ,2017,218999.0,Automático,16.1,Gasolina,1.6
 Ford , Fiesta ,2018,244999.0,Automático,16.1,Gasolina,1.6
 Nissan , NP 300 ,2020,428999.0,Manual,9.9,Gasolina,1.6
 Audi , A1 ,2017,351999.0,Automático,15.6,Gasolina,1.8
 Ford , Fiesta ,2016,207999.0,Automático,6.2,Gasolina,1.6
 Volkswagen , Polo ,2018,218999.0,Manual,14.5,Gasolina,1.6
 Hyundai , Elantra ,2016,251999.0,Automático,17.5,Gasolina,1.6
 Volkswagen , Jetta A6 ,2016,225999.0,Automático,12.7,Gasolina,1.6
 Hyundai , Tucson ,2018,343999.0,Automático,14.5,Gasolina,1.6
 Chevrolet , Trax ,2017,293999.0,Automático,15.2,Gasolina,1.8
 Audi , A3 ,2018,382999.0,Automático,14.3,Gasolina,1.8
 Ford , Fiesta ,2016,210999.0,Manual,16.1,Gasolina,1.6
 Volkswagen , Tiguan ,2013,241999.0,Automático,9.9,Gasolina,1.6
 Hyundai , Creta ,2020,388999.0,Automático,14.3,Gasolina,1.6
 Peugeot , Rifter ,2020,342999.0,Manual,18.2,Gasolina,1.6
 Nissan , Versa ,2019,289999.0,Automático,18.5,Gasolina,1.6
