marca,modelo,año,precio,transmisión,rendimiento,combustible,litros,entrega
 Renault , Duster ,2019,244999.0,Manual,13.3,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Audi , Q2 ,2018,454999.0,Automático,14.9,Gasolina,1.4,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Bmw , Serie 1 ,2018,438999.0,Automático,17.9,Gasolina,1.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Kia , Sorento ,2020,543999.0,Automático,12.8,Gasolina,2.4,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Ford , Focus ,2018,298999.0,Automático,15.2,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Chevrolet , Trax ,2016,247999.0,Automático,15.2,Gasolina,1.8,"{'nombre': 'Domicilio', 'precio': 11913, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Chrysler , Town & Country ,2015,315999.0,Automático,7.8,Gasolina,4,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Volkswagen , Vento ,2018,218999.0,Manual,14.3,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 11849, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Jeep , Renegade ,2017,332999.0,Automático,12.2,Gasolina,1.8,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Chevrolet , Trax ,2019,335999.0,Automático,15.2,Gasolina,1.8,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Kia , Seltos ,2020,442999.0,Automático,11.1,Gasolina,1.4,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Toyota , Prius ,2019,365999.0,Automático,31.3,Híbrido,1.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Chevrolet , Trax ,2020,393999.0,Automático,15.2,Gasolina,1.8,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Nissan , March ,2018,213999.0,Automático,15.2,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 4909, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Bmw , Serie 4 ,2019,608999.0,Automático,12.8,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 7415, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Mercedes Benz , Clase Gla ,2020,620999.0,Automático,13.5,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Nissan , Note ,2019,213999.0,Manual,15.4,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Nissan , Versa ,2018,224999.0,Manual,16.4,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
