marca,modelo,año,precio,transmision,rendimiento,combustible,litros,motor,tipo_vehiculo,pasajeros,gerente_id,colores,caracteristicas,extras,enganche,plazos,fotos_3d,ficha_tecnica,entrega
Renault,Duster,2019,244999.0,Manual,13.3,Gasolina,2,V10,Deportivo,4,646e3b245ecacccc95b27c1e,"[{'nombre': 'Marrón Oscuro', 'valor_hexadecimal': '#8B4513', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_187061-MLM26276021984_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_785047-MLM47938870846_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_772110-MLM47935024269_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_210081-MLM41998071567_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_818723-MLM38656794567_022023-O.jpg']}]","['Asientos de cuero', 'Control de crucero', 'Asientos con memoria', 'Control de tracción', 'Sistema de arranque remoto']","[{'titulo': 'Sistema de Reconocimiento de Señales de Tráfico', 'precio': 7000.0, 'descripcion': 'Detecta y muestra en el panel de instrumentos las señales de tráfico relevantes'}, {'titulo': 'Asistente de Arranque en Pendientes', 'precio': 3500.0, 'descripcion': 'Facilita el arranque en pendientes sin deslizamientos hacia atrás'}, {'titulo': 'Control de Velocidad de Crucero Adaptativo', 'precio': 8500.0, 'descripcion': 'Ajusta automáticamente la velocidad del vehículo según la distancia con el vehículo que lo precede'}, {'titulo': 'Encendido Automático de Luces', 'precio': 3500.0, 'descripcion': 'Activa y desactiva las luces del vehículo automáticamente según las condiciones de luz'}]","[10, 15, 25, 35]","{'12': 4.0, '24': 4.1, '36': 4.2, '48': 4.4, '60': 4.6}","['https://http2.mlstatic.com/D_NQ_NP_683123-MLM97523407396_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_603389-MLM15115422697_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_283704-MLM67392156214_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_470894-MLM93825382739_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_609872-MLM88371757395_022023-O.jpg']",https://github.com/SFMBa01029956/TC3005B.501,"[{'nombre': 'Domicilio', 'precio': 14157, 'descripcion': 'Lo llevamos a la puerta de tu casa'}, {'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}]"
Audi,Q2,2018,454999.0,Automático,14.9,Gasolina,1.4,V8,Hatchback,4,646e3b245ecacccc95b27c1e,"[{'nombre': 'Gris Azulado', 'valor_hexadecimal': '#708090', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_128679-MLM36515337046_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_341369-MLM31796940499_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_315050-MLM54445374645_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_389900-MLM57593062246_022023-O.jpg']}, {'nombre': 'Gris Oscuro', 'valor_hexadecimal': '#696969', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_572965-MLM93212676920_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_970565-MLM67574482896_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_642267-MLM65684774192_022023-O.jpg']}, {'nombre': 'Blanco Perla', 'valor_hexadecimal': '#F8F8FF', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_960483-MLM36793017963_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_214208-MLM52031975914_022023-O.jpg']}, {'nombre': 'Negro', 'valor_hexadecimal': '#000000', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_197256-MLM40514537215_022023-O.jpg']}]",['Pantalla táctil'],"[{'titulo': 'Sistema de Aviso de Cambio de Carril', 'precio': 6500.0, 'descripcion': 'Alerta al conductor cuando se produce un cambio de carril involuntario'}, {'titulo': 'Asistente de Arranque en Pendientes', 'precio': 3500.0, 'descripcion': 'Facilita el arranque en pendientes sin deslizamientos hacia atrás'}, {'titulo': 'Volante Forrado en Cuero', 'precio': 3000.0, 'descripcion': 'Proporciona un agarre suave y cómodo durante la conducción'}, {'titulo': 'Sistema de Frenos de Disco', 'precio': 5000.0, 'descripcion': 'Proporciona un frenado más eficiente y seguro'}]","[10, 15, 25, 30, 35]","{'12': 5.6, '24': 5.699999999999999, '36': 5.8, '48': 6.0, '60': 6.199999999999999}","['https://http2.mlstatic.com/D_NQ_NP_316428-MLM23450299963_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_212748-MLM52769389051_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_254798-MLM88096256833_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_104795-MLM21373869442_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_189296-MLM17640609770_022023-O.jpg']",https://github.com/SFMBa01029956/TC3005B.501,"[{'nombre': 'Domicilio', 'precio': 10997, 'descripcion': 'Lo llevamos a la puerta de tu casa'}, {'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}]"
Bmw,Serie 1,2018,438999.0,Automático,17.9,Gasolina,1.5,Inline-4,Coupé,3,646e3b245ecacccc95b27c1e,"[{'nombre': 'Beige', 'valor_hexadecimal': '#F5F5DC', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_167813-MLM51038621941_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_154346-MLM56097895051_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_463420-MLM96521519044_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_314575-MLM23648918738_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_438375-MLM14710934700_022023-O.jpg']}, {'nombre': 'Blanco Perla', 'valor_hexadecimal': '#F8F8FF', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_668619-MLM33614453460_022023-O.jpg']}, {'nombre': 'Gris Medio', 'valor_hexadecimal': '#808080', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_611163-MLM25890785060_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_418391-MLM89044080612_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_404684-MLM97222962503_022023-O.jpg']}]","['Asientos con calefacción', 'Sistema de arranque remoto', 'Sistema de navegación', 'Pantalla táctil']","[{'titulo': 'Sensores de Estacionamiento Delanteros y Traseros', 'precio': 5500.0, 'descripcion': 'Proporciona advertencias audibles y visuales para facilitar el estacionamiento'}]",[40],"{'12': 4.7, '24': 4.8, '36': 4.9, '48': 5.1000000000000005, '60': 5.3}",['https://http2.mlstatic.com/D_NQ_NP_734473-MLM83582826501_022023-O.jpg'],https://github.com/SFMBa01029956/TC3005B.501,"[{'nombre': 'Domicilio', 'precio': 8931, 'descripcion': 'Lo llevamos a la puerta de tu casa'}, {'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}]"
Kia,Sorento,2020,543999.0,Automático,12.8,Gasolina,2.4,V6 Turbocharged,Familiar,5,646e3b245ecacccc95b27c1e,"[{'nombre': 'Negro', 'valor_hexadecimal': '#000000', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_259871-MLM52986673225_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_968017-MLM86671188903_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_441913-MLM10636589005_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_721959-MLM73462320119_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_116068-MLM51523876529_022023-O.jpg']}, {'nombre': 'Marrón Oscuro', 'valor_hexadecimal': '#8B4513', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_968739-MLM76731089010_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_539671-MLM68933212407_022023-O.jpg']}, {'nombre': 'Negro', 'valor_hexadecimal': '#000000', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_138191-MLM64164913775_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_854804-MLM92283129856_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_931057-MLM63367171692_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_473070-MLM51128259626_022023-O.jpg']}]","['Sistema de asistencia de estacionamiento', 'Sistema de monitoreo de presión de neumáticos', 'Sistema de sonido premium']","[{'titulo': 'Espejos Laterales Eléctricos', 'precio': 2500.0, 'descripcion': 'Permite ajustar los espejos exteriores de forma electrónica'}, {'titulo': 'Asientos Calefaccionados', 'precio': 5000.0, 'descripcion': 'Proporciona calor en los asientos para mayor confort en climas fríos'}, {'titulo': 'Climatizador Automático', 'precio': 4500.0, 'descripcion': 'Regula automáticamente la temperatura y el flujo de aire en el vehículo'}, {'titulo': 'Volante Forrado en Cuero', 'precio': 3000.0, 'descripcion': 'Proporciona un agarre suave y cómodo durante la conducción'}]","[20, 25]","{'12': 4.7, '24': 4.8, '36': 4.9, '48': 5.1000000000000005, '60': 5.3}","['https://http2.mlstatic.com/D_NQ_NP_548887-MLM66307485317_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_608171-MLM77045289304_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_627885-MLM54901063828_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_910647-MLM20496001455_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_788086-MLM31075438408_022023-O.jpg']",https://github.com/SFMBa01029956/TC3005B.501,"[{'nombre': 'Domicilio', 'precio': 6788, 'descripcion': 'Lo llevamos a la puerta de tu casa'}, {'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}]"
Ford,Focus,2018,298999.0,Automático,15.2,Gasolina,1.6,Inline-4,Hatchback,6,646e3b245ecacccc95b27c1e,"[{'nombre': 'Negro', 'valor_hexadecimal': '#000000', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_507944-MLM94494604377_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_931638-MLM33745163199_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_395458-MLM85438751310_022023-O.jpg']}]",['Volante multifuncional'],"[{'titulo': 'Sistema de Sonido Surround', 'precio': 6000.0, 'descripcion': 'Brinda una experiencia de audio envolvente en todo el vehículo'}, {'titulo': 'Espejos Retrovisores con Calefacción', 'precio': 3500.0, 'descripcion': 'Descongela y evita la formación de hielo en los espejos retrovisores'}]","[35, 40]","{'12': 5.4, '24': 5.5, '36': 5.6000000000000005, '48': 5.800000000000001, '60': 6.0}","['https://http2.mlstatic.com/D_NQ_NP_594643-MLM67068047665_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_121814-MLM75245491816_022023-O.jpg']",https://github.com/SFMBa01029956/TC3005B.501,"[{'nombre': 'Domicilio', 'precio': 9351, 'descripcion': 'Lo llevamos a la puerta de tu casa'}, {'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}]"
Chevrolet,Trax,2016,247999.0,Automático,15.2,Gasolina,1.8,V6 Turbocharged,Deportivo,4,646e3b245ecacccc95b27c1e,"[{'nombre': 'Gris Medio', 'valor_hexadecimal': '#808080', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_519756-MLM73918965864_022023-O.jpg']}, {'nombre': 'Gris Oscuro', 'valor_hexadecimal': '#696969', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_579835-MLM49064615905_022023-O.jpg']}, {'nombre': 'Gris Azulado', 'valor_hexadecimal': '#708090', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_643704-MLM71074864576_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_103198-MLM29677750669_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_587361-MLM35348882709_022023-O.jpg']}, {'nombre': 'Negro Azabache', 'valor_hexadecimal': '#0D0D0D', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_151425-MLM59554861801_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_987056-MLM19107110824_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_356050-MLM54514438062_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_461021-MLM59067488728_022023-O.jpg']}]","['Sistema de navegación', 'Reproductor de CD/DVD']","[{'titulo': 'Asientos con Memoria', 'precio': 5500.0, 'descripcion': 'Permite guardar y recuperar configuraciones personalizadas de asientos'}, {'titulo': 'Control de Crucero Inteligente', 'precio': 8500.0, 'descripcion': 'Mantiene una velocidad constante y segura adaptándose al tráfico'}, {'titulo': 'Alerta de Cambio de Carril', 'precio': 6000.0, 'descripcion': 'Advierte al conductor cuando se desvía involuntariamente de su carril'}]","[10, 15, 20, 25, 40]","{'12': 4.8, '24': 4.8999999999999995, '36': 5.0, '48': 5.2, '60': 5.3999999999999995}","['https://http2.mlstatic.com/D_NQ_NP_420353-MLM87422507091_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_657332-MLM13007811775_022023-O.jpg']",https://github.com/SFMBa01029956/TC3005B.501,"[{'nombre': 'Domicilio', 'precio': 11340, 'descripcion': 'Lo llevamos a la puerta de tu casa'}, {'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}]"
Chrysler,Town & Country,2015,315999.0,Automático,7.8,Gasolina,4,Inline-4,SUV,4,646e3b245ecacccc95b27c1e,"[{'nombre': 'Gris Oscuro', 'valor_hexadecimal': '#696969', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_532644-MLM67705343622_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_507388-MLM90577750273_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_937587-MLM99728280290_022023-O.jpg']}, {'nombre': 'Azul Oscuro', 'valor_hexadecimal': '#00008B', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_181111-MLM97732622014_022023-O.jpg']}, {'nombre': 'Blanco Perla', 'valor_hexadecimal': '#F8F8FF', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_587053-MLM84811968726_022023-O.jpg']}]","['Asientos con calefacción', 'Pantalla táctil', 'Sistema de sonido premium', 'Sistema de frenado de emergencia']","[{'titulo': 'Luces Delanteras LED', 'precio': 6000.0, 'descripcion': 'Ofrece una iluminación más brillante y nítida con menor consumo de energía'}, {'titulo': 'Tapicería de Cuero', 'precio': 6000.0, 'descripcion': 'Asientos de cuero de alta calidad para mayor elegancia y confort'}, {'titulo': 'Asistente de Arranque en Pendientes', 'precio': 3500.0, 'descripcion': 'Facilita el arranque en pendientes sin deslizamientos hacia atrás'}, {'titulo': 'Sistema de Aviso de Cambio de Carril', 'precio': 6500.0, 'descripcion': 'Alerta al conductor cuando se produce un cambio de carril involuntario'}, {'titulo': 'Control de Velocidad de Crucero Adaptativo', 'precio': 8500.0, 'descripcion': 'Ajusta automáticamente la velocidad del vehículo según la distancia con el vehículo que lo precede'}]","[15, 35, 40]","{'12': 5.8, '24': 5.8999999999999995, '36': 6.0, '48': 6.2, '60': 6.3999999999999995}","['https://http2.mlstatic.com/D_NQ_NP_657696-MLM94516092720_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_444911-MLM16791724239_022023-O.jpg']",https://github.com/SFMBa01029956/TC3005B.501,"[{'nombre': 'Domicilio', 'precio': 5658, 'descripcion': 'Lo llevamos a la puerta de tu casa'}, {'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}]"
Volkswagen,Vento,2018,218999.0,Manual,14.3,Gasolina,1.6,Inline-5,SUV,4,646e3b245ecacccc95b27c1e,"[{'nombre': 'Negro Noche', 'valor_hexadecimal': '#2F2F2F', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_799141-MLM46428193796_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_866440-MLM24016113165_022023-O.jpg']}]",['Control de crucero'],"[{'titulo': 'Volante Forrado en Cuero', 'precio': 3000.0, 'descripcion': 'Proporciona un agarre suave y cómodo durante la conducción'}, {'titulo': 'Alerta de Cambio de Carril', 'precio': 6000.0, 'descripcion': 'Advierte al conductor cuando se desvía involuntariamente de su carril'}, {'titulo': 'Espejos Retrovisores Plegables Eléctricamente', 'precio': 4000.0, 'descripcion': 'Permite plegar los espejos retrovisores de forma eléctrica para facilitar el estacionamiento'}]","[20, 30, 35, 40]","{'12': 5.5, '24': 5.6, '36': 5.7, '48': 5.9, '60': 6.1}","['https://http2.mlstatic.com/D_NQ_NP_815688-MLM98568003035_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_355458-MLM45181279314_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_186131-MLM80791583123_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_340999-MLM12752109702_022023-O.jpg']",https://github.com/SFMBa01029956/TC3005B.501,"[{'nombre': 'Domicilio', 'precio': 11173, 'descripcion': 'Lo llevamos a la puerta de tu casa'}, {'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}]"
Jeep,Renegade,2017,332999.0,Automático,12.2,Gasolina,1.8,V8,Camioneta,6,646e3b245ecacccc95b27c1e,"[{'nombre': 'Plata', 'valor_hexadecimal': '#C0C0C0', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_126539-MLM28406945105_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_725572-MLM58275375413_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_320852-MLM14582172153_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_232177-MLM61546625034_022023-O.jpg']}, {'nombre': 'Gris Claro', 'valor_hexadecimal': '#D3D3D3', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_385057-MLM43344964064_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_938933-MLM61880613596_022023-O.jpg']}, {'nombre': 'Marrón Oscuro', 'valor_hexadecimal': '#8B4513', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_147294-MLM22296927224_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_931809-MLM36132748455_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_990437-MLM42930897147_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_242536-MLM70528032933_022023-O.jpg']}, {'nombre': 'Gris Medio', 'valor_hexadecimal': '#808080', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_373208-MLM60725140703_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_566055-MLM71441883266_022023-O.jpg']}]",['Sistema de asistencia de estacionamiento'],"[{'titulo': 'Sistema de Asistencia de Aparcamiento', 'precio': 7000.0, 'descripcion': 'Facilita el estacionamiento mediante sensores y guías visuales'}, {'titulo': 'Asientos Calefaccionados', 'precio': 5000.0, 'descripcion': 'Proporciona calor en los asientos para mayor confort en climas fríos'}]","[15, 25]","{'12': 4.4, '24': 4.5, '36': 4.6000000000000005, '48': 4.800000000000001, '60': 5.0}","['https://http2.mlstatic.com/D_NQ_NP_109437-MLM78019622580_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_528576-MLM72734329834_022023-O.jpg']",https://github.com/SFMBa01029956/TC3005B.501,"[{'nombre': 'Domicilio', 'precio': 11592, 'descripcion': 'Lo llevamos a la puerta de tu casa'}, {'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}]"
Chevrolet,Trax,2019,335999.0,Automático,15.2,Gasolina,1.8,V8,Deportivo,2,646e3b245ecacccc95b27c1e,"[{'nombre': 'Negro', 'valor_hexadecimal': '#000000', 'imagenes': ['https://http2.mlstatic.com/D_NQ_NP_189619-MLM84592087399_022023-O.jpg']}]","['Pantalla táctil', 'Techo solar', 'Encendido sin llave', 'Sistema de asistencia de estacionamiento']","[{'titulo': 'Sistema de Asistencia de Mantenimiento de Carril', 'precio': 7500.0, 'descripcion': 'Ayuda a mantener el vehículo en el centro del carril de manera automática'}]","[20, 30, 35]","{'12': 4.9, '24': 5.0, '36': 5.1000000000000005, '48': 5.300000000000001, '60': 5.5}","['https://http2.mlstatic.com/D_NQ_NP_581240-MLM29182652587_022023-O.jpg', 'https://http2.mlstatic.com/D_NQ_NP_729833-MLM43720356036_022023-O.jpg']",https://github.com/SFMBa01029956/TC3005B.501,"[{'nombre': 'Domicilio', 'precio': 11238, 'descripcion': 'Lo llevamos a la puerta de tu casa'}, {'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}]"
