marca,modelo,año,precio,transmisión,rendimiento,combustible,litros
 Renault , Duster ,2019," 244,999 ",Manual,13.3,Gasolina,2
 Audi , Q2 ,2018," 454,999 ",Automático,14.9,Gasolina,1.4
 Bmw , Serie 1 ,2018," 438,999 ",Automático,17.9,Gasolina,1.5
 Kia , Sorento ,2020," 543,999 ",Automático,12.8,Gasolina,2.4
 Ford , Focus ,2018," 298,999 ",Automático,15.2,,
 Chevrolet , Trax ,2016," 247,999 ",Automático,15.2,Gasolina,1.8
 Chrysler , Town & Country ,2015," 315,999 ",Automático,7.8,Gasolina,4
 Volkswagen , Vento ,2018," 218,999 ",Manual,14.3,Gasolina,1.6
 Jeep , Renegade ,2017," 332,999 , 332,999 ",Automático,12.2,Gasolina,1.8
 Chevrolet , Trax ,2019," 335,999 ",Automático,15.2,Gasolina,1.8
 Kia , Seltos ,2020," 442,999 ",Automático,11.1,Gasolina,1.4
 Toyota , Prius ,2019," 365,999 ",Automático,31.3,Híbrido,1.5
 Chevrolet , Trax ,2020," 393,999 ",Automático,15.2,Gasolina,1.8
 Nissan , March ,2018," 213,999 ",Automático,15.2,Gasolina,1.6
 Bmw , Serie 4 ,2019," 608,999 ",Automático,12.8,Gasolina,2
 Mercedes Benz , Clase Gla ,2020," 620,999 ",Automático,13.5,Gasolina,1.6
 Nissan , Note ,2019,,Manual,15.4,Gasolina,1.6
 Nissan , Versa ,2018," 224,999 ",Manual,16.4,Gasolina,1.6
 Volkswagen , Virtus ,2020," 311,999 ",Manual,15.4,Gasolina,1.6
 Chevrolet , Trax ,2018," 339,999 ",Automático,15.2,Gasolina,1.8
 Mazda , Mazda 6 ,2019," 397,999 ",Automático,14.1,Gasolina,2.5
 Nissan , March ,2016," 163,999 ",Manual,16.1,Gasolina,1.6
 Bmw , Serie 1 ,2019," 495,999 ",Automático,17.9,Gasolina,1.5
 Chevrolet , Aveo ,2018," 224,999 ",Automático,16.7,,
 Audi , A3 ,2016," 343,999 ",Automático,11.8,Gasolina,1.8
 Nissan , Versa ,2019," 245,999 ",Automático,18.2,Gasolina,1.6
 Suzuki , Swift ,2020," 319,999 ",Automático,19.2,Gasolina,1
 Mini , Cooper ,2019," 438,999 ",Automático,17.5,,1.5
 Suzuki , Ignis ,2019," 270,999 , 270,999 ",Automático,19.6,Gasolina,1.2
 Kia , Sorento ,2019," 497,999 ",Automático,12.8,Gasolina,3.3
 Volkswagen , Vento ,2018," 243,999 ",Automático,9.6,Gasolina,1.6
 Nissan , Versa ,2020," 308,999 ",Manual,16.4,Gasolina,1.6
 Mazda , Mazda 3 ,2017," 289,999 ",Automático,9.6,Gasolina,2
 Toyota , Sienna ,2020," 604,999 ",Automático,9.6,Gasolina,3.5
 Nissan , Kicks ,2017," 305,999 ",Automático,17.5,Gasolina,1.6
 Honda , Accord ,2015," 276,999 ",Automático,9.9,Gasolina,"2,4"
 Kia , Sedona ,2019," 502,999 ",Automático,9.8,,3.3
 Volvo , V40 ,2018," 466,999 ",Automático,12.3,,2
 Honda , CR-V ,2016," 331,999 ",Automático,9.7,,2.4
 Volkswagen , Taos ,2021," 532,999 ",Automático,14.5,,1.4
 Nissan , Versa ,2017," 193,999 ",Manual,6.1,,1.6
 Nissan , Kicks ,2017," 277,999 ",Automático,16.9,,1.6
 Chevrolet , Beat ,2018," 166,999 , 166,999 ",Manual,18.2,,
 Ford , Focus ,2017," 304,999 ",Automático,15.2,,
 Audi , A3 ,2018," 393,999 ",Automático,14.3,,
 Porsche , Macan ,2018," 887,999 ",Automático,8.8,,
 Seat , Arona ,2019," 350,999 ",Automático,14.3,,
 Volkswagen , Golf A7 ,2017,,Manual,16.1,,
 Volkswagen , Polo ,2016," 224,999 ",Automático,16.1,,
 Mercedes Benz , Clase Glc ,2019," 791,999 ",Automático,10.6,,
 Volkswagen , Vento ,2018," 233,999 ",Manual,14.3,,
 Ford , Fiesta ,2017," 218,999 ",Automático,16.1,,
 Ford , Fiesta ,2018," 244,999 ",Automático,16.1,,
 Nissan , NP 300 ,2020," 428,999 ",Manual,9.9,,
 Audi , A1 ,2017," 351,999 ",Automático,15.6,,
 Ford , Fiesta ,2016," 207,999 ",Automático,6.2,,
 Volkswagen , Polo ,2018," 218,999 ",Manual,14.5,,
 Hyundai , Elantra ,2016," 251,999 ",Automático,17.5,,
 Volkswagen , Jetta A6 ,2016," 225,999 ",Automático,12.7,,
 Hyundai , Tucson ,2018," 343,999 ",Automático,14.5,,
 Chevrolet , Trax ,2017," 293,999 ",Automático,15.2,,
 Audi , A3 ,2018," 382,999 ",Automático,14.3,,
 Ford , Fiesta ,2016," 210,999 ",Manual,16.1,,
 Volkswagen , Tiguan ,2013," 241,999 ",Automático,9.9,,
 Hyundai , Creta ,2020," 388,999 ",Automático,14.3,,
 Peugeot , Rifter ,2020," 342,999 ",Manual,18.2,,
 Nissan , Versa ,2019," 289,999 ",Automático,18.5,,1.6
 Kia , Optima ,2018," 338,999 ",Automático,13.3,Gasolina,2.4
 Chevrolet , Aveo ,2018," 194,999 ",Manual,17.5,Gasolina,1.6
 Nissan , X Trail ,2019," 469,999 ",Automático,12.7,Gasolina,2.5
 Mazda , Mazda 2 ,2019," 286,999 ",Automático,18.5,Gasolina,1.5
 Nissan , Kicks ,2018," 325,999 ",Automático,17.5,Gasolina,1.6
